id_atendimento,id_cliente,id_servico,data_atendimento,status,tempo_dias,valor_final
187,7138,1,2023-06-03,Cancelado,0,0
188,8103,4,2023-10-07,Concluído,6,255
189,3439,1,2023-02-15,Cancelado,0,0
190,3017,3,2023-02-15,Pendente,0,0
191,853,3,2023-12-21,Concluído,5,239
192,438,1,2023-10-13,Pendente,0,0
193,2659,1,2023-04-12,Cancelado,0,0
194,1527,4,2023-07-26,Concluído,1,348
195,3675,3,2023-10-28,Concluído,3,233
196,9909,3,2023-04-20,Cancelado,0,0
197,1115,5,2023-01-29,Cancelado,0,0
198,97,1,2023-12-03,Cancelado,0,0
199,2209,4,2023-09-01,Concluído,5,271
200,6390,1,2023-10-11,Concluído,6,260
201,7505,1,2023-06-23,Pendente,0,0
202,8673,4,2023-12-16,Cancelado,0,0
203,9297,2,2023-06-18,Concluído,3,315
204,8279,1,2023-10-31,Pendente,0,0
205,2456,3,2023-06-15,Pendente,0,0
206,1036,1,2023-04-19,Pendente,0,0
207,4545,3,2023-01-28,Cancelado,0,0
208,8606,5,2023-08-06,Concluído,3,266
209,419,3,2023-09-24,Pendente,0,0
210,2130,4,2023-05-24,Concluído,2,225
211,7042,5,2023-06-08,Cancelado,0,0
212,736,2,2023-10-07,Concluído,6,198
213,8959,4,2023-09-15,Concluído,5,302
214,2469,4,2023-02-14,Pendente,0,0
215,2629,2,2023-05-17,Pendente,0,0
216,862,5,2023-06-14,Pendente,0,0
217,3457,5,2023-10-19,Cancelado,0,0
218,9699,2,2023-05-31,Cancelado,0,0
219,241,5,2023-10-06,Cancelado,0,0
220,4286,1,2023-10-23,Pendente,0,0
221,1848,2,2023-02-26,Concluído,5,185
222,976,3,2023-11-02,Pendente,0,0
223,2879,5,2023-09-05,Pendente,0,0
224,9010,5,2023-12-01,Pendente,0,0
225,4517,4,2023-05-23,Cancelado,0,0
226,3017,1,2023-05-03,Pendente,0,0
227,2281,5,2023-03-04,Pendente,0,0
228,5677,3,2023-06-16,Cancelado,0,0
229,1867,4,2023-02-23,Pendente,0,0
230,2833,3,2023-08-26,Pendente,0,0
231,5852,3,2023-10-29,Pendente,0,0
232,1721,1,2023-04-09,Cancelado,0,0
233,3617,4,2023-05-05,Cancelado,0,0
234,3962,1,2023-02-01,Cancelado,0,0
235,3069,1,2023-02-22,Cancelado,0,0
236,4654,4,2023-03-15,Pendente,0,0
237,8694,4,2023-05-24,Cancelado,0,0
238,6260,2,2023-06-05,Concluído,3,339
239,8627,5,2023-12-29,Pendente,0,0
240,4980,2,2023-02-23,Concluído,4,164
241,1658,5,2023-04-21,Pendente,0,0
242,3484,3,2023-04-27,Cancelado,0,0
243,1298,1,2023-09-13,Pendente,0,0
244,4666,2,2023-05-31,Cancelado,0,0
245,1554,2,2023-12-21,Cancelado,0,0
246,1688,1,2023-11-24,Concluído,1,293
247,3093,4,2023-01-08,Concluído,6,332
248,9262,4,2023-02-22,Pendente,0,0
249,3559,1,2023-09-27,Pendente,0,0
250,3543,2,2023-10-03,Pendente,0,0
251,7391,1,2023-01-08,Concluído,5,253
252,8567,5,2023-04-07,Pendente,0,0
253,8346,4,2023-05-30,Concluído,7,208
254,4371,5,2023-01-13,Pendente,0,0
255,6881,4,2023-06-06,Concluído,4,327
256,8955,3,2023-07-21,Pendente,0,0
257,8252,5,2023-08-28,Cancelado,0,0
258,7701,5,2023-08-26,Cancelado,0,0
259,1805,1,2023-07-09,Cancelado,0,0
260,6237,1,2023-05-20,Cancelado,0,0
261,1441,4,2023-06-06,Cancelado,0,0
262,6993,5,2023-03-02,Cancelado,0,0
263,3056,3,2023-05-09,Cancelado,0,0
264,8495,3,2023-10-20,Cancelado,0,0
265,2605,3,2023-09-03,Pendente,0,0
266,3895,1,2023-03-26,Cancelado,0,0
267,1091,5,2023-06-25,Cancelado,0,0
268,184,3,2023-06-27,Cancelado,0,0
269,1515,2,2023-12-27,Concluído,1,284
270,2863,5,2023-01-26,Cancelado,0,0
271,4102,4,2023-11-05,Cancelado,0,0
272,1111,1,2023-11-12,Concluído,1,218
273,2245,4,2023-02-01,Cancelado,0,0
274,233,4,2023-02-24,Cancelado,0,0
275,2070,2,2023-12-08,Cancelado,0,0
276,4273,5,2023-05-22,Cancelado,0,0
277,7479,2,2023-10-20,Concluído,1,162
278,259,1,2023-03-20,Concluído,6,247
279,5404,5,2023-05-23,Cancelado,0,0
280,4813,4,2023-09-04,Pendente,0,0
281,9622,3,2023-03-26,Cancelado,0,0
282,9218,5,2023-12-11,Concluído,3,323
283,1825,3,2023-09-15,Pendente,0,0
284,9644,3,2023-03-05,Cancelado,0,0
285,7260,5,2023-12-31,Pendente,0,0
286,4369,2,2023-10-06,Pendente,0,0
287,254,3,2023-05-17,Cancelado,0,0
288,6227,1,2023-10-25,Concluído,3,304
289,9371,2,2023-10-01,Cancelado,0,0
290,2633,1,2023-05-11,Concluído,4,174
291,2833,3,2023-12-12,Concluído,2,298
292,7390,4,2024-01-01,Cancelado,0,0
293,2052,2,2023-09-15,Pendente,0,0
294,4528,4,2023-03-18,Concluído,6,297
295,425,1,2023-05-24,Cancelado,0,0
296,555,2,2023-02-03,Concluído,5,327
297,2752,1,2023-08-02,Pendente,0,0
298,6327,4,2023-12-23,Pendente,0,0
299,5281,4,2023-03-26,Pendente,0,0
300,4106,5,2023-08-08,Pendente,0,0
301,2848,3,2023-09-11,Concluído,1,223
302,1741,1,2023-12-07,Concluído,3,179
303,7108,4,2023-12-18,Pendente,0,0
304,4049,3,2023-10-14,Cancelado,0,0
305,5795,2,2023-08-14,Pendente,0,0
306,3619,1,2023-09-27,Concluído,4,266
307,3271,1,2023-08-13,Pendente,0,0
308,6703,5,2023-12-01,Concluído,1,215
309,4247,3,2023-05-13,Cancelado,0,0
310,3878,4,2023-02-05,Cancelado,0,0
311,4258,5,2023-06-12,Pendente,0,0
312,1367,5,2023-03-22,Cancelado,0,0
313,3911,1,2023-08-16,Pendente,0,0
314,5288,1,2023-12-08,Cancelado,0,0
315,6,1,2023-09-29,Pendente,0,0
316,1279,5,2023-02-04,Concluído,1,227
317,4890,3,2023-07-31,Pendente,0,0
318,8420,1,2023-12-11,Cancelado,0,0
319,1586,5,2023-08-18,Concluído,7,236
320,2572,3,2023-05-29,Pendente,0,0
321,5514,1,2023-06-03,Concluído,1,180
322,1020,4,2023-03-09,Pendente,0,0
323,7278,1,2023-10-13,Pendente,0,0
324,8838,4,2023-02-13,Concluído,2,181
325,4463,3,2023-03-25,Cancelado,0,0
326,7623,4,2023-02-28,Concluído,3,332
327,6776,5,2023-01-04,Cancelado,0,0
328,375,1,2023-10-09,Cancelado,0,0
329,7503,2,2023-09-14,Pendente,0,0
330,5536,2,2023-05-13,Concluído,5,251
331,7929,1,2023-08-12,Cancelado,0,0
332,2032,4,2023-04-15,Pendente,0,0
333,9401,4,2023-02-23,Concluído,4,188
334,5076,4,2023-05-29,Concluído,7,241
335,9239,5,2023-02-24,Pendente,0,0
336,9035,3,2023-08-08,Pendente,0,0
337,9659,5,2023-02-09,Concluído,5,261
338,5457,4,2023-04-27,Cancelado,0,0
339,4691,4,2023-07-09,Pendente,0,0
340,5871,4,2023-01-14,Cancelado,0,0
341,2005,3,2023-05-06,Concluído,2,191
342,3356,2,2023-02-07,Pendente,0,0
343,6912,5,2023-04-15,Cancelado,0,0
344,1128,4,2023-02-05,Cancelado,0,0
345,1750,3,2023-12-11,Cancelado,0,0
346,553,3,2023-05-23,Concluído,5,240
347,280,4,2023-05-01,Concluído,1,295
348,5816,5,2023-11-08,Cancelado,0,0
349,2718,2,2023-04-30,Pendente,0,0
350,4387,3,2023-05-16,Concluído,2,348
351,8668,1,2023-02-20,Cancelado,0,0
352,6263,4,2023-05-23,Cancelado,0,0
353,160,2,2023-04-05,Cancelado,0,0
354,9578,4,2023-07-04,Concluído,2,350
355,699,3,2023-07-03,Pendente,0,0
356,9313,4,2023-03-10,Cancelado,0,0
357,2974,5,2023-12-05,Cancelado,0,0
358,3834,4,2023-01-04,Cancelado,0,0
359,4629,2,2023-12-23,Cancelado,0,0
360,5883,4,2023-01-27,Cancelado,0,0
361,868,2,2023-11-20,Pendente,0,0
362,2388,3,2023-10-08,Pendente,0,0
363,93,3,2023-09-18,Concluído,4,280
364,6064,3,2023-11-12,Pendente,0,0
365,3811,3,2023-08-27,Cancelado,0,0
366,8930,1,2023-09-25,Concluído,2,188
367,8261,3,2023-04-09,Concluído,7,274
368,7471,5,2023-04-04,Pendente,0,0
369,6268,5,2023-10-05,Concluído,3,247
370,5541,1,2023-12-28,Concluído,1,245
371,7229,2,2023-07-06,Pendente,0,0
372,1644,5,2023-03-28,Cancelado,0,0
373,3122,5,2023-10-08,Cancelado,0,0
374,7931,2,2023-05-21,Pendente,0,0
375,5440,5,2023-10-14,Pendente,0,0
376,7648,1,2023-08-18,Pendente,0,0
377,477,5,2023-12-22,Cancelado,0,0
378,1467,4,2023-01-28,Cancelado,0,0
379,7621,5,2023-08-29,Cancelado,0,0
380,4992,1,2023-07-04,Concluído,7,243
381,7424,2,2023-07-20,Cancelado,0,0
382,3500,3,2023-11-23,Pendente,0,0
383,6203,1,2023-08-11,Concluído,4,298
384,830,2,2023-04-05,Pendente,0,0
385,7057,3,2023-03-03,Concluído,7,323
386,9886,3,2023-01-17,Concluído,6,231
387,5969,5,2023-01-11,Cancelado,0,0
388,7522,4,2023-10-03,Cancelado,0,0
389,3804,5,2023-06-06,Pendente,0,0
390,2452,4,2023-03-22,Cancelado,0,0
391,6278,2,2023-03-07,Concluído,5,327
392,8503,1,2024-01-01,Concluído,2,162
393,4875,5,2023-07-15,Concluído,1,319
394,5280,4,2023-03-06,Concluído,6,167
395,7207,1,2023-11-13,Cancelado,0,0
396,9655,4,2023-05-25,Concluído,2,191
397,9877,4,2023-07-25,Pendente,0,0
398,9952,2,2023-09-02,Pendente,0,0
399,4064,5,2023-03-11,Pendente,0,0
400,9440,4,2023-09-09,Pendente,0,0
401,4626,4,2023-06-07,Pendente,0,0
402,2568,2,2023-06-01,Cancelado,0,0
403,7930,5,2023-02-07,Pendente,0,0
404,5750,5,2023-01-25,Concluído,2,300
405,8216,4,2023-01-01,Concluído,3,184
406,1434,1,2023-08-06,Pendente,0,0
407,536,3,2023-12-23,Concluído,7,255
408,6530,2,2023-07-21,Pendente,0,0
409,9145,5,2023-12-27,Concluído,1,204
410,8970,4,2023-10-02,Pendente,0,0
411,5217,1,2023-06-04,Concluído,2,267
412,4574,2,2023-09-22,Concluído,7,206
413,5849,4,2023-11-05,Cancelado,0,0
414,727,3,2023-09-10,Concluído,4,192
415,9804,5,2023-10-03,Concluído,6,314
416,7678,1,2023-11-26,Concluído,3,343
417,9872,4,2023-11-28,Cancelado,0,0
418,913,1,2023-12-05,Cancelado,0,0
419,7045,2,2023-11-06,Pendente,0,0
420,1765,1,2023-10-16,Cancelado,0,0
421,2736,1,2023-03-09,Pendente,0,0
422,3914,5,2023-02-18,Pendente,0,0
423,6788,4,2023-11-10,Cancelado,0,0
424,2266,5,2023-03-07,Concluído,7,254
425,3189,5,2023-05-07,Cancelado,0,0
426,4790,3,2023-04-30,Pendente,0,0
427,530,4,2023-08-02,Pendente,0,0
428,3506,5,2023-10-21,Concluído,7,214
429,4558,3,2023-06-29,Cancelado,0,0
430,8052,2,2023-09-03,Concluído,3,324
431,2005,5,2023-12-21,Pendente,0,0
432,4624,5,2023-11-15,Cancelado,0,0
433,3993,4,2023-03-18,Pendente,0,0
434,687,3,2023-01-28,Pendente,0,0
435,2227,4,2023-08-17,Pendente,0,0
436,6276,4,2023-03-16,Cancelado,0,0
437,6145,3,2023-03-27,Pendente,0,0
438,6786,4,2023-06-14,Cancelado,0,0
439,2825,4,2023-06-07,Concluído,3,198
440,6163,3,2023-01-25,Pendente,0,0
441,3437,3,2023-05-05,Concluído,1,345
442,8002,3,2023-06-21,Cancelado,0,0
443,7161,1,2023-08-26,Pendente,0,0
444,598,1,2023-04-19,Pendente,0,0
445,9290,3,2023-07-26,Concluído,4,280
446,9249,2,2023-04-07,Pendente,0,0
447,4345,2,2023-06-29,Pendente,0,0
448,1646,5,2023-04-06,Cancelado,0,0
449,4307,5,2023-11-04,Concluído,1,274
450,5095,3,2023-05-30,Pendente,0,0
451,5038,2,2023-03-29,Pendente,0,0
452,9570,1,2023-04-24,Pendente,0,0
453,9396,5,2023-03-19,Pendente,0,0
454,8555,3,2023-06-11,Cancelado,0,0
455,4124,2,2023-09-13,Cancelado,0,0
456,8706,5,2023-02-21,Concluído,3,207
457,6292,2,2023-07-18,Concluído,2,197
458,1493,1,2023-07-29,Cancelado,0,0
459,9745,3,2023-04-16,Cancelado,0,0
460,4212,1,2023-01-06,Cancelado,0,0
461,6224,5,2023-05-10,Concluído,1,277
462,5961,5,2023-05-31,Pendente,0,0
463,2750,4,2023-07-24,Concluído,6,156
464,7891,5,2023-01-30,Cancelado,0,0
465,7922,5,2023-11-14,Pendente,0,0
466,2349,5,2023-02-19,Concluído,7,318
467,4197,2,2023-12-25,Cancelado,0,0
468,6622,2,2023-10-16,Pendente,0,0
469,991,5,2023-10-27,Pendente,0,0
470,7133,2,2023-07-12,Concluído,2,199
471,8659,3,2023-04-20,Pendente,0,0
472,1311,3,2023-03-09,Pendente,0,0
473,5400,3,2023-02-19,Cancelado,0,0
474,256,3,2023-11-22,Pendente,0,0
475,4046,1,2023-07-16,Concluído,4,298
476,816,3,2023-05-05,Cancelado,0,0
477,7430,4,2023-09-10,Concluído,1,167
478,2408,4,2023-04-30,Pendente,0,0
479,5012,1,2023-10-14,Pendente,0,0
480,3210,4,2023-07-16,Concluído,7,349
481,48,1,2023-05-05,Pendente,0,0
482,46,1,2023-09-09,Cancelado,0,0
483,1117,2,2023-03-26,Cancelado,0,0
484,8261,3,2023-12-08,Cancelado,0,0
485,8547,4,2023-07-05,Cancelado,0,0
486,9212,2,2023-04-11,Concluído,1,180
487,6962,4,2023-01-26,Cancelado,0,0
488,6351,4,2023-02-01,Cancelado,0,0
489,7011,2,2023-11-30,Pendente,0,0
490,1769,2,2023-06-26,Pendente,0,0
491,2045,3,2023-01-01,Cancelado,0,0
492,1629,5,2023-06-09,Pendente,0,0
493,9837,1,2023-03-20,Pendente,0,0
494,140,1,2023-09-12,Pendente,0,0
495,764,5,2023-07-21,Cancelado,0,0
496,856,3,2023-10-19,Pendente,0,0
497,1427,3,2023-04-29,Cancelado,0,0
498,4679,1,2023-02-21,Pendente,0,0
499,2771,4,2023-05-13,Cancelado,0,0
500,2263,5,2023-02-20,Cancelado,0,0
501,3829,2,2023-03-13,Pendente,0,0
502,6406,1,2023-09-13,Concluído,4,293
503,7218,3,2023-01-31,Pendente,0,0
504,1063,1,2023-05-16,Concluído,1,162
505,8841,1,2023-09-16,Concluído,5,171
506,2885,4,2023-09-23,Pendente,0,0
507,9806,4,2023-01-16,Pendente,0,0
508,510,1,2023-05-12,Cancelado,0,0
509,4996,4,2023-05-31,Pendente,0,0
510,9189,1,2023-07-16,Concluído,1,306
511,435,2,2023-02-18,Pendente,0,0
512,9338,2,2023-05-20,Cancelado,0,0
513,9519,5,2023-05-12,Concluído,5,255
514,8569,3,2023-07-13,Cancelado,0,0
515,2797,1,2023-10-10,Concluído,1,278
516,4042,5,2023-07-02,Cancelado,0,0
517,8126,5,2023-09-23,Concluído,5,248
518,2697,3,2023-08-16,Concluído,1,158
519,3732,5,2023-12-28,Concluído,4,304
520,2667,1,2023-10-31,Concluído,1,238
521,8772,5,2023-10-03,Concluído,6,345
522,1887,2,2023-12-24,Cancelado,0,0
523,253,2,2023-05-14,Pendente,0,0
524,2234,1,2023-01-28,Cancelado,0,0
525,6365,4,2023-10-11,Cancelado,0,0
526,2511,2,2023-06-20,Concluído,4,229
527,2031,4,2023-02-10,Concluído,1,308
528,2284,5,2023-07-04,Pendente,0,0
529,1324,2,2023-03-28,Concluído,2,242
530,1471,3,2023-05-10,Concluído,6,335
531,8685,4,2023-12-22,Concluído,5,243
532,520,4,2023-01-30,Pendente,0,0
533,838,2,2023-05-18,Concluído,4,219
534,7861,2,2023-10-08,Cancelado,0,0
535,5490,3,2023-07-27,Cancelado,0,0
536,4754,2,2023-02-24,Cancelado,0,0
537,1411,5,2023-02-28,Concluído,6,298
538,2482,1,2023-12-31,Pendente,0,0
539,8494,1,2023-05-26,Concluído,2,267
540,1304,4,2023-02-01,Pendente,0,0
541,5988,4,2023-03-14,Pendente,0,0
542,3965,3,2023-06-21,Pendente,0,0
543,3109,4,2023-03-26,Cancelado,0,0
544,2604,1,2023-10-23,Pendente,0,0
545,7395,5,2023-07-29,Concluído,4,310
546,2339,1,2023-04-04,Cancelado,0,0
547,3861,5,2023-09-18,Cancelado,0,0
548,7132,5,2023-09-23,Cancelado,0,0
549,4497,1,2023-04-18,Concluído,3,329
550,1816,4,2023-07-05,Concluído,1,254
551,8354,3,2023-03-21,Concluído,6,176
552,3041,3,2023-12-17,Cancelado,0,0
553,7513,1,2023-04-10,Concluído,3,249
554,5407,5,2023-08-30,Cancelado,0,0
555,9646,1,2023-09-04,Cancelado,0,0
556,4621,4,2023-07-01,Cancelado,0,0
557,715,5,2023-10-20,Concluído,5,254
558,4276,2,2023-12-30,Pendente,0,0
559,311,3,2023-01-05,Pendente,0,0
560,2199,4,2023-01-05,Cancelado,0,0
561,972,4,2023-08-25,Pendente,0,0
562,9597,4,2023-10-01,Concluído,1,279
563,4082,4,2023-01-27,Concluído,6,214
564,5554,3,2023-11-19,Pendente,0,0
565,1921,3,2023-06-07,Cancelado,0,0
566,7176,2,2023-01-31,Pendente,0,0
567,1797,3,2023-04-19,Cancelado,0,0
568,1778,1,2023-01-07,Concluído,6,239
569,1838,1,2023-06-24,Concluído,4,266
570,6454,5,2023-03-24,Concluído,4,168
571,6040,3,2023-02-10,Cancelado,0,0
572,8008,2,2023-01-10,Cancelado,0,0
573,292,4,2023-02-25,Pendente,0,0
574,7426,2,2023-12-18,Cancelado,0,0
575,8667,1,2023-12-13,Cancelado,0,0
576,1750,5,2023-10-05,Cancelado,0,0
577,8316,3,2023-10-07,Concluído,3,155
578,914,2,2023-11-30,Concluído,5,348
579,7319,3,2023-09-17,Cancelado,0,0
580,9982,1,2023-08-26,Pendente,0,0
581,5949,2,2023-10-12,Cancelado,0,0
582,3524,5,2023-05-31,Cancelado,0,0
583,6787,1,2023-03-30,Cancelado,0,0
584,2911,4,2023-03-18,Cancelado,0,0
585,9442,3,2023-12-16,Cancelado,0,0
586,577,1,2023-03-31,Pendente,0,0
587,2145,5,2023-03-15,Cancelado,0,0
588,606,4,2023-01-14,Cancelado,0,0
589,3080,1,2023-04-12,Concluído,7,175
590,6069,5,2023-07-25,Cancelado,0,0
591,477,3,2023-09-03,Cancelado,0,0
592,4235,5,2023-04-21,Pendente,0,0
593,176,2,2023-11-26,Cancelado,0,0
594,8214,2,2023-07-21,Pendente,0,0
595,6273,3,2023-09-15,Cancelado,0,0
596,1665,2,2023-12-11,Pendente,0,0
597,8421,1,2023-06-06,Concluído,1,302
598,8235,5,2023-11-02,Concluído,7,344
599,4232,4,2023-05-22,Pendente,0,0
